Source,Tikhonov_clean_corr,Tikhonov_noisy_corr
1,0.8017754451729544,0.573091220589742
2,0.8374091805391631,0.6209671567736865
3,0.9996861893650638,0.9987514454948726
4,0.846382100258714,0.6222000076318069
5,0.8439799531760896,0.6282021824309035
6,0.9987272626204127,0.9949889421265248
7,0.8925165275995691,0.7076133599219625
8,0.8645378834959095,0.666152800772107
9,0.8570005022657593,0.6289276684240875
10,0.9962594242101483,0.9852489817713417
11,0.840429411676256,0.6107474791053185
12,0.8422664448229804,0.6135299453450236
13,0.832717075729753,0.6016672425806243
14,0.8465524430783923,0.6305466878971576
15,0.8630517412477554,0.6372949868079903
16,0.7808811472401916,0.5319097922780115
